tag_id,tag_name,tag_type,pi_name,ui_display_name,data_type,uom_id,uom_name,uom_description,model_id,model_tag_id,formula_expression
4454,Air_Compressor_Motor_C_Power_CO2_Emission,inferred,NULL,Air Compressor Motor C CO2 Emission,real,3,MT/ HR,3,1,5617,([Air_Compressor_Motor_C_Power_actual]-[Air_Compressor_Motor_C_Power_optimum])*[Power_Emission_Factor_actual]
1447,Air_Compressor_Motor_C_Power_Imbalance,inferred,NULL,Air Compressor Motor C Power Imbalance,real,5,%,5,1,2618,"if([Air_Compressor_Motor_C_Status]==0,0,(([Air_Compressor_Motor_C_Power]-[Air_Compressor_Motor_C_Power_Regression])/[Air_Compressor_Motor_C_Power_Regression])*100)"
1678,Air_Compressor_Motor_C_Power_param,inferred,NULL,Air Compressor Motor C Power param,real,27,-,28,1,2843,[Air_Compressor_Motor_C_Power]
1443,Air_Compressor_Motor_C_Power_Regression,inferred,NULL,Air Compressor Motor C Power Regression,real,5,%,5,1,2614,(0.0896*([Air_compressor_C_Discharge_flow])/0.9)
249,Air_Compressor_Motor_C_Status,inferred,NULL,Air Compressor Motor C Status,real,21,Number,22,1,249,"if([Air_Compressor_C_Discharge_Pressure]>4,1,0)"
1140,Air_Compressor_Motors_Running,inferred,NULL,Air Compressor Motors Running,real,21,Number,22,1,1142,[Air_Compressor_Motor_B_Status]+[Air_Compressor_Motor_C_Status]
3994,Air_Compressor_shaft_losses,inferred,NULL,Air_Compressor_shaft_losses,real,27,-,28,1,5158,"if([act_running]==1,0,(if([act_shaft_loss]>[du_shaft_loss],0,1))* (if(([Air_Compressor_Turbine_A_Steam_raw]/1000)>[Air_Compressor_Turbine_A_Steam], ([Air_Compressor_Turbine_A_Steam_raw]/1000)-[Air_Compressor_Turbine_A_Steam], 0) + if(([Air_Compressor_Turbine_D_Steam_raw]/1000)>[Air_Compressor_Turbine_D_Steam], ([Air_Compressor_Turbine_D_Steam_raw]/1000)-[Air_Compressor_Turbine_D_Steam],0))*0.9911)*0"
2909,Air_Compressor_Turbine,inferred,NULL,Air Compressor Turbine,real,30,µS/ cm," microsiemens per centimeter",1,4068,0
246,Air_Compressor_Turbine_A_Status,inferred,NULL,Air Compressor Turbine A Status,real,21,Number,22,1,246,"if(([Air_Compressor_Turbine_A_Steam_raw]/1000)>12.5||([Air_Compressor_Turbine_A_RPM])>1750,1,0)"
193,Air_Compressor_Turbine_A_Steam,inferred,NULL,Air Compressor Turbine A Steam,real,3,MT/ HR,3,1,193,"if([Air_Compressor_Turbine_A_Steam_raw]<100,0,[Air_Compressor_Turbine_A_Steam_raw]/1000)"
1347,Air_Compressor_Turbine_A_Steam_Benefit,inferred,NULL,Air Compressor Turbine A Steam Benefit,real,20,$/ HR,21,1,2518,"if((abs([Air_Compressor_Turbine_A_Steam_actual]*([HP_Steam_Cost_actual]-[LP_Steam_Cost_actual])-[Air_Compressor_Turbine_A_Steam_optimum]*([HP_Steam_Cost_optimum]-[LP_Steam_Cost_optimum])))>0.5,[Air_Compressor_Turbine_A_Steam_actual]*([HP_Steam_Cost_actual]-[LP_Steam_Cost_actual])-[Air_Compressor_Turbine_A_Steam_optimum]*([HP_Steam_Cost_optimum]-[LP_Steam_Cost_optimum]),0)"
4462,Air_Compressor_Turbine_A_Steam_CO2_Emission,inferred,NULL,Air Compressor Turbine A CO2 Emission,real,3,MT/ HR,3,1,5625,[Boilers_Specific_Energy_Consumption_actual]/[LHV_actual]*([Air_Compressor_Turbine_A_Steam_actual]-[Air_Compressor_Turbine_A_Steam_optimum])*[Fuel_Emission_Factor_actual]
909,Air_Compressor_Turbine_A_Steam_Energy,inferred,NULL,Air Compressor Turbine A Steam Energy,real,17,GJ/ HR,18,1,908,[Air_Compressor_Turbine_A_Steam]*([HP_Steam_Enthalpy]-[LP_Steam_Enthalpy])*4.184/1000
1445,Air_Compressor_Turbine_A_Steam_Imbalance,inferred,NULL,Air Compressor Turbine A Steam Imbalance,real,5,%,5,1,2616,"if([Air_Compressor_Turbine_A_Status]==0,0,(([Air_Compressor_Turbine_A_Steam]-[Air_Compressor_Turbine_A_Steam_Regression])/[Air_Compressor_Turbine_A_Steam_Regression])*100)"
3083,Air_Compressor_Turbine_A_Steam_KEV,inferred,NULL,Air Compressor Turbine A Steam,real,3,MT/ HR,3,1,4242,[Air_Compressor_Turbine_A_Steam]*[Air_Compressor_Turbine_A_Status]
1676,Air_Compressor_Turbine_A_Steam_param,inferred,NULL,Air Compressor Turbine A Steam param,real,27,-,28,1,2841,[Air_Compressor_Turbine_A_Steam]
1441,Air_Compressor_Turbine_A_Steam_Regression,inferred,NULL,Air Compressor Turbine A Steam Regression,real,5,%,5,1,2612,((14.691*([Air_compressor_A_Discharge_flow])*89.55+5079)/0.9/1000)
4420,Air_Compressor_Turbine_A_Steam_warmup,inferred,NULL,Air_Compressor_Turbine_A_Steam_warmup,real,3,MT/ HR,3,1,5584,"if([Air_Compressor_Turbine_A_Steam_raw]>100 && [Air_Compressor_Turbine_A_Steam_raw]<12500 && [Air_Compressor_Turbine_A_Status]==0,[Air_Compressor_Turbine_A_Steam_raw]/1000,0)"
247,Air_Compressor_Turbine_D_Status,inferred,NULL,Air Compressor Turbine D Status,real,21,Number,22,1,247,"if(([Air_Compressor_Turbine_D_Steam_raw]/1000)>12.5||([Air_Compressor_Turbine_D_RPM])>1750,1,0)"
194,Air_Compressor_Turbine_D_Steam,inferred,NULL,Air Compressor Turbine D Steam,real,3,MT/ HR,3,1,194,"if([Air_Compressor_Turbine_D_Steam_raw]<100,0,[Air_Compressor_Turbine_D_Steam_raw]/1000)"
