derived_equation_id,model_tag_id,formula_expression,active
226,1547,[MP_to_LP_Letdown_MPS_Flow_In_PV32_UO]+[BFW_to_MP_to_LP_Letdown_Flow_In],1
227,1635,[NATURAL_GAS_Import_CTM],1
228,1638,[Total_Fuel_Supply]  - [Total_Fuel_Consumption_without_Boilers] - [Total_Fuel_for_Boilers],1
229,1622,[Total_Power_Consumption_without_Drives] + [Total_Power_for_Drives],1
230,1637,[Total_Fuel_Consumption_without_Boilers] + [Total_Fuel_for_Boilers],1
231,1483,[BLR_1_HPS_Gen]+[BLR_2_HPS_Gen]+[BLR_3_HPS_Gen]+[BLR_4_HPS_Gen]+[BLR_5_HPS_Gen],1
232,1573,[ETH_HPS_Demand] +[EOEG_1_HPS_Demand]+[EOEG_2_HPS_Demand]+[EOEG_3_HPS_Demand]+ [BFW_E_Turb_Steam] + [BFW_B_Turb_Steam] + [BFW_C_Turb_Steam] + [VHP_BFW_B_Turb_Steam] + [VHP_BFW_C_Turb_Steam] + [CW_Turbine_A_Steam] + [CW_Turbine_B_Steam] + [CW_Turbine_G_Steam] + [Air_Compressor_Turbine_A_Steam] + [Air_Compressor_Turbine_D_Steam] + [FD_Fan_BLR_1_Steam] + [FD_Fan_BLR_2_Steam] + [FD_Fan_BLR_3_Steam] + [FD_Fan_BLR_4_Steam] + [FD_Fan_BLR_5_Steam] + [HP_to_MP_Letdown_HPS_Flow_In_PV0007A_UO] +[HP_to_MP_Letdown_HPS_Flow_In_PV0007B_UO] + [HP_Steam_Vent_valve_PV0012_Steam_flow_out_UO],1
233,1575,[HP_to_MP_Letdown_MPS_Flow_Out_PV0007A_UO]+[HP_to_MP_Letdown_MPS_Flow_Out_PV0007B_UO],1
234,1576,[EOEG_1_MPS_Demand]+[EOEG_2_MPS_Demand]+[EOEG_3_MPS_Demand]+[DMW_Turbine_A_Steam]+ [DMW_Turbine_C_Steam]+ [MP_to_LP_Letdown_MPS_Flow_In_PV013A_UO]+ [MP_to_LP_Letdown_MPS_Flow_In_PV013B_UO]+ [MP_to_LP_Letdown_MPS_Flow_In_PV31_UO]+ [MP_to_LP_Letdown_MPS_Flow_In_PV32_UO],1
235,1578,([MP_to_LP_Letdown_LPS_Flow_Out_PV013A_UO]+[MP_to_LP_Letdown_LPS_Flow_Out_PV013B_UO]+[MP_to_LP_Letdown_LPS_Flow_Out_PV31_UO]+[MP_to_LP_Letdown_LPS_Flow_Out_PV32_UO])+[LPS_from_Drives],1
