constraint_id,model_id,constraint_category_id,system,expression,active
28,1,1,BF Water,([Total_BFW_Consumption]==[VHP_BFW_FROM_U_O]+[VHP_DESPHTR_BFW_FROM_U_O]+[BFW_to_EOEG_1] + [BFW_to_EOEG_2] +[BFW_to_EOEG_3] + [BFW_TO_LAO] + [DSP_BFW_TO_ETH] +[DSP_BFW_TO_EG1] +[DSP_BFW_TO_EG2] +[DSP_BFW_TO_EG3] +[DSP_BFW_TO_CAUSTIC_DILUTION] + [Total_BLR_HPS_Generation]/.99),0
29,1,2,BFW Drives,([BFW_pump_Rated_Flow]*([BFW_A_Motor_Status]+[BFW_B_Turb_Status]+[BFW_C_Turb_Status]+[BFW_D_Motor_Status]+[BFW_E_Turb_Status]+[BFW_F_Motor_Status])>=[BFW_Flow_Consumption]+ [Buffer_in_BFW_Flow_Margin]).,0
30,1,2,VHP_BFW Drives,if(,0
31,1,2,CW Drives,(([Air_Compressor_A_Rated_Flow]*[Air_Compressor_Turbine_A_Status] + [Air_Compressor_B_Rated_Flow]*[Air_Compressor_Motor_B_Status] +[Air_Compressor_C_Rated_Flow]*[Air_Compressor_Motor_C_Status]+[Air_Compressor_D_Rated_Flow]*[Air_Compressor_Turbine_D_Status])>=[Total_Air_Demand]+ [Buffer_in_Air_Flow_Margin]),0
32,1,2,AC Drives,([CW_Pump_Rated_Flow]*([CW_Turbine_A_Status]+[CW_Turbine_B_Status]+[CW_Turbine_G_Status]+[CW_Motor_C_Status]+[CW_Motor_D_Status]+[CW_Motor_E_Status]+[CW_Motor_F_Status])>=[Total_CW_Demand]+ [Buffer_in_CW_Flow_Margin]),0
33,1,5,Boilers,[BLR_1_HPS_Gen] >= 50*[BLR_1_Status].,0
34,1,5,Boilers,[BLR_2_HPS_Gen] >= 60*[BLR_2_Status],0
35,1,4,VHP_BFW Drives,[Total_BFW_Generated] == [BFW_Imbalance]+[Total_BFW_Consumption],0
36,1,5,Boilers,[BLR_4_HPS_Gen] >= 50*[BLR_4_Status],1
37,1,5,Boilers,[BLR_5_HPS_Gen] >= 50*[BLR_5_Status],1
38,1,5,Boilers,[Fuel_BLR_1] >= 0.000001*[BLR_1_Status],0
39,1,5,Boilers,[Fuel_BLR_2] >= 0.000001*[BLR_2_Status],0
40,1,5,Boilers,[Fuel_BLR_3] >= 0.000001*[BLR_3_Status],0
41,1,5,Boilers,[Fuel_BLR_4] >= 0.000001*[BLR_4_Status],0
42,1,5,Boilers,[Fuel_BLR_5] >= 0.000001*[BLR_5_Status],0
43,1,2,Boilers,[Buffer_Steam_in_Boilers]+[Total_BLR_HPS_Generation] <= [BLR_1_Status]*[BLR_1_Capacity] + [BLR_2_Status]*[BLR_2_Capacity] + [BLR_3_Status]*[BLR_3_Capacity] + [BLR_4_Status]*[BLR_4_Capacity] + [BLR_5_Status]*[BLR_5_Capacity],0
44,1,1,HP Steam,[Total_BLR_HPS_Generation]==[HP_Steam_Imbalance]+[HP_Steam_Consumption],1
45,1,1,MP Steam,[MP_Steam_Generation]==[MP_Steam_Imbalance]+[MP_Steam_Consumption],1
46,1,1,LP Steam,[LP_Steam_Generation]==[LP_Steam_Imbalance]+[LP_Steam_Consumption],1
47,1,1,BF Water,[Total_BFW_Generated] == [BFW_Imbalance]+[Total_BFW_Consumption],1
48,1,3,Deaerator,([Total_BFW_Generated]*109==[Return_Condensate]*75+[DMW_Makeup]*40+([Deaerator_A_LPS]-[Deaerator_A_LPS_Vent]+[Deaerator_B_LPS]-[Deaerator_B_LPS_Vent])*684+[Condensate_From_P_7106_to_Deaerator_Header]*75+[BFW_Imbalance_Enthalpy]),0
57,1,5,test 1,test 1,0
61,1,5,Test data,Test data,0
62,1,3,Test record 3,Test record 3,0
66,1,2,Twest,Twest,0
69,1,2,test,2,0
70,1,2,test,2 test,0
74,1,4,HP_to_MP letdown,([HP_to_MP_Letdown_MPS_Flow_Out_PV0007A_UO]==[HP_to_MP_Letdown_HPS_Flow_In_PV0007A_UO]+[BFW_to_HP_to_MP_Letdown_Flow_In_PV0007A_UO]),1
75,1,4,HP_to_MP letdown,([HP_to_MP_Letdown_MPS_Flow_Out_PV0007B_UO]==[HP_to_MP_Letdown_HPS_Flow_In_PV0007B_UO]+[BFW_to_HP_to_MP_Letdown_Flow_In_PV0007B_UO]),1
76,1,2,testing constrain,1+1==3,0
77,1,4,Deaerator,([Total_BFW_Generated]==[Return_Condensate]+[DMW_Makeup]+[Deaerator_A_LPS]-[Deaerator_A_LPS_Vent]+[Deaerator_B_LPS]-[Deaerator_B_LPS_Vent]+[Condensate_From_P_7106_to_Deaerator_Header]),0
78,1,5,Boilers,[BLR_1_HPS_Gen] >= 50*[BLR_1_Status],1
79,1,5,test,test,0
80,1,5,test,1+1,0
81,1,2,selectedData,1,0
82,1,1,122222,122222,0
83,1,2,looooogs,looooogs,0
84,1,3,testing 5,1+2,0
92,1,1,ggg,1=1,0
