seu_output_id,case_id,time_stamp,seu_id,actual,target,baseline,gain,enpi,enpi_benefit,gain_benefit,baseline_gjph,actual_gjph,target_gjph
156,1,2026-03-25 11:00:00.000,95,0.335358740766883,0.311136075024132,0.250449,-26.1769893839443,7.46765280722795,13.0110217269042,-45.6086251478888,77.2114100809561,103.3883994649,95.9207466576725
157,1,2026-03-25 10:00:00.000,95,0.341554385603715,0.31886520177716,0.250449,-27.5719375172186,6.86660568567915,12.0152911489175,-48.2457959541881,75.7953455055494,103.367283022768,96.5006773370888
158,1,2026-03-25 11:00:00.000,96,0,0,0,0,0,0,0,0,0,0
159,1,2026-03-25 10:00:00.000,96,0,0,0,0,0,0,0,0,0,0
160,1,2026-03-25 11:00:00.000,97,0.0159414200314526,0.0169922498383678,0.012157,-0.674956946747126,0.0747759957450351,0.997063127264298,-8.99987592792618,2.16821904899791,2.84317599574504,2.7684
161,1,2026-03-25 10:00:00.000,97,0.0158925047044837,0.016930660371589,0.012157,-0.668136042209825,0.0741490085207293,0.988702879615404,-8.9089259868258,2.1744129663109,2.84254900852073,2.7684
162,1,2026-03-25 11:00:00.000,98,0,0,0,0,0,0,0,0,0,0
163,1,2026-03-25 10:00:00.000,98,0,0,0,0,0,0,0,0,0,0
164,1,2026-03-25 11:00:00.000,99,0,0,0,0,0,0,0,0,0,0
165,1,2026-03-25 10:00:00.000,99,0,0,0,0,0,0,0,0,0,0
166,1,2026-03-25 11:00:00.000,100,0.0296554292715155,0.0296524070384096,0.029998,0.103921795225496,0.000916820568228616,0.0225878726330072,2.56033989167838,9.10015291430581,8.99623111908031,8.99531429851208
167,1,2026-03-25 10:00:00.000,100,0.0297449813387357,0.0297490425046002,0.029998,0.076544844265209,-0.00122861020242127,-0.0302346855797686,1.8836806780133,9.07518926388148,8.99864441961627,8.99864441961627
168,1,2026-03-25 11:00:00.000,101,0.0305183847784065,0.0305123546101283,0.030859,0.0960879470457243,0.00170111742946411,0.0419107349486758,2.36733597025362,8.70535950804473,8.60927156099901,8.60757044356955
169,1,2026-03-25 10:00:00.000,101,0.0306121984100901,0.0306162426557876,0.030859,0.0694127188430649,-0.00113744036105246,-0.0279911005251182,1.70816726519202,8.67906520196943,8.60965248312637,8.60965248312637
170,1,2026-03-25 11:00:00.000,102,0,0,0,0,0,0,0,0,0,0
171,1,2026-03-25 10:00:00.000,102,0,0,0,0,0,0,0,0,0,0
172,1,2026-03-25 11:00:00.000,103,0.0214096186594024,0.0229376877557247,0.019551,-0.331487404963339,0.0813986891930703,2.00543409223378,-8.16691459837636,3.48694995697607,3.81843736193941,3.73703867274634
173,1,2026-03-25 10:00:00.000,103,0.0214318422251191,0.0229528986237293,0.019551,-0.336409288630746,0.0802000952381237,1.97363220508301,-8.27864610583523,3.49691107216784,3.83332036079859,3.75312026556047
