run_info_id,model_id,last_run_time,last_data_update,model_status,model_version_id
25835,1,2024-01-08 13:00:00.000,2024-01-08 13:00:00.000,on_default,1
25836,1,2024-01-08 14:00:00.000,2024-01-08 14:00:00.000,on_default,1
25837,1,2024-01-08 15:00:00.000,2024-01-08 15:00:00.000,on_default,1
25838,1,2024-01-08 16:00:00.000,2024-01-08 16:00:00.000,on_default,1
25839,1,2024-01-08 17:00:00.000,2024-01-08 17:00:00.000,on_default,1
25840,1,2024-01-08 18:00:00.000,2024-01-08 18:00:00.000,on_default,1
25841,1,2024-01-08 19:00:00.000,2024-01-08 19:00:00.000,on_default,1
25842,1,2024-01-08 20:00:00.000,2024-01-08 20:00:00.000,on_default,1
25843,1,2024-01-08 21:00:00.000,2024-01-08 21:00:00.000,on_default,1
25844,1,2024-01-08 22:00:00.000,2024-01-08 22:00:00.000,on_default,1
25845,1,2024-01-08 23:00:00.000,2024-01-08 23:00:00.000,on_default,1
25846,1,2024-01-09 00:00:00.000,2024-01-09 00:00:00.000,on_default,1
25847,1,2024-01-09 01:00:00.000,2024-01-09 01:00:00.000,on_default,1
25848,1,2024-01-09 02:00:00.000,2024-01-09 02:00:00.000,on_default,1
25849,1,2024-01-09 03:00:00.000,2024-01-09 03:00:00.000,on_default,1
25850,1,2024-01-09 04:00:00.000,2024-01-09 04:00:00.000,on_default,1
25851,1,2024-01-09 05:00:00.000,2024-01-09 05:00:00.000,on_default,1
25852,1,2024-01-09 06:00:00.000,2024-01-09 06:00:00.000,on_default,1
25853,1,2024-01-09 07:00:00.000,2024-01-09 07:00:00.000,on_default,1
25854,1,2024-01-09 08:00:00.000,2024-01-09 08:00:00.000,on_default,1
25855,1,2024-01-09 09:00:00.000,2024-01-09 09:00:00.000,on_default,1
25856,1,2024-01-09 10:00:00.000,2024-01-09 10:00:00.000,on_default,1
25857,1,2024-01-09 11:00:00.000,2024-01-09 11:00:00.000,on_default,1
25858,1,2024-01-09 12:00:00.000,2024-01-09 12:00:00.000,on_default,1
25859,1,2024-01-09 13:00:00.000,2024-01-09 13:00:00.000,on_default,1
25860,1,2024-01-09 17:00:00.000,2024-01-09 17:00:00.000,on_default,1
25861,1,2024-01-09 18:00:00.000,2024-01-09 18:00:00.000,on_default,1
25862,1,2024-01-09 19:00:00.000,2024-01-09 19:00:00.000,on_default,1
25863,1,2024-01-09 20:00:00.000,2024-01-09 20:00:00.000,on_default,1
25864,1,2024-01-09 21:00:00.000,2024-01-09 21:00:00.000,on_default,1
25865,1,2024-01-09 22:00:00.000,2024-01-09 22:00:00.000,on_default,1
25866,1,2024-01-09 23:00:00.000,2024-01-09 23:00:00.000,on_default,1
