,tag_name,formula_expression,Category
1764,Boiler_E_Fg_Nitrogen_Mass_Percentage,[Normalized_Boiler_E_Fg_N2_Concentration]*[Component_Nitrogen_Mw]/[Boiler_E_Fg_Mw],Boiler -- Combustion & Fuel
1765,Boiler_E_Fg_Hydrogen_Mass_Percentage,[Normalized_Boiler_E_Fg_Hydrogen_Concentration]*[Component_Hydrogen_Mw]/[Boiler_E_Fg_Mw],Boiler -- Combustion & Fuel
1766,Boiler_E_Fg_Ic4_Mass_Percentage,[Normalized_Boiler_E_Fg_Ic4_Concentration]*[Component_Butane_Mw]/[Boiler_E_Fg_Mw],Boiler -- Combustion & Fuel
1767,Boiler_E_Fg_Nc4_Mass_Percentage,[Normalized_Boiler_E_Fg_Nc4_Concentration]*[Component_Butane_Mw]/[Boiler_E_Fg_Mw],Boiler -- Combustion & Fuel
1768,Boiler_E_Fg_Nc5_Mass_Percentage,[Normalized_Boiler_E_Fg_Nc5_Concentration]*[Component_Pentane_Mw]/[Boiler_E_Fg_Mw],Boiler -- Combustion & Fuel
1769,Boiler_E_Fg_Ic5_Mass_Percentage,[Normalized_Boiler_E_Fg_Ic5_Concentration]*[Component_Pentane_Mw]/[Boiler_E_Fg_Mw],Boiler -- Combustion & Fuel
1770,Boiler_E_Total_Fuel_Compostion_Mass,[Boiler_E_Fg_Ch4_Mass_Percentage]+[Boiler_E_Fg_Ethane_Mass_Percentage]+[Boiler_E_Fg_Ethylene_Mass_Percentage]+[Boiler_E_Fg_Propane_Mass_Percentage]+[Boiler_E_Fg_Hydrogen_Mass_Percentage]+[Boiler_E_Fg_Nitrogen_Mass_Percentage]+[Boiler_E_Fg_Ic4_Mass_Percentage]+[Boiler_E_Fg_Nc4_Mass_Percentage]+[Boiler_E_Fg_Nc5_Mass_Percentage]+[Boiler_E_Fg_Ic5_Mass_Percentage],Boiler -- Performance & Energy
1771,Boiler_E_Fg_Ch4_Mass_Fraction,[Boiler_E_Fg_Ch4_Mass_Percentage]/[Boiler_E_Total_Fuel_Compostion_Mass],Boiler -- Combustion & Fuel
1772,Boiler_E_Fg_Ethane_Mass_Fraction,[Boiler_E_Fg_Ethane_Mass_Percentage]/[Boiler_E_Total_Fuel_Compostion_Mass],Boiler -- Combustion & Fuel
1773,Boiler_E_Fg_Ethylene_Mass_Fraction,[Boiler_E_Fg_Ethylene_Mass_Percentage]/[Boiler_E_Total_Fuel_Compostion_Mass],Boiler -- Combustion & Fuel
1774,Boiler_E_Fg_Propane_Mass_Fraction,[Boiler_E_Fg_Propane_Mass_Percentage]/[Boiler_E_Total_Fuel_Compostion_Mass],Boiler -- Combustion & Fuel
1775,Boiler_E_Fg_Hydrogen_Mass_Fraction,[Boiler_E_Fg_Hydrogen_Mass_Percentage]/[Boiler_E_Total_Fuel_Compostion_Mass],Boiler -- Combustion & Fuel
1776,Boiler_E_Fg_Ic4_Mass_Fraction,[Boiler_E_Fg_Ic4_Mass_Percentage]/[Boiler_E_Total_Fuel_Compostion_Mass],Boiler -- Combustion & Fuel
1777,Boiler_E_Fg_Nc4_Mass_Fraction,[Boiler_E_Fg_Nc4_Mass_Percentage]/[Boiler_E_Total_Fuel_Compostion_Mass],Boiler -- Combustion & Fuel
1778,Boiler_E_Fg_Nc5_Mass_Fraction,[Boiler_E_Fg_Nc5_Mass_Percentage]/[Boiler_E_Total_Fuel_Compostion_Mass],Boiler -- Combustion & Fuel
1779,Boiler_E_Fg_Ic5_Mass_Fraction,[Boiler_E_Fg_Ic5_Mass_Percentage]/[Boiler_E_Total_Fuel_Compostion_Mass],Boiler -- Combustion & Fuel
1780,Boiler_E_Air_Required_For_H2_Combustion,[Boiler_E_Fg_Hydrogen_Mass_Fraction]*34.344,Boiler -- Combustion & Fuel
1781,Boiler_E_Air_Required_For_Ch4_Combustion,[Boiler_E_Fg_Ch4_Mass_Fraction]*17.265,Boiler -- Combustion & Fuel
1782,Boiler_E_Air_Required_For_Ethane_Combustion,[Boiler_D_Fg_Ethane_Mass_Fraction]*16.119,Boiler -- Combustion & Fuel
1783,Boiler_E_Air_Required_For_Ethylene_Combustion,[Boiler_E_Fg_Ethylene_Mass_Fraction]*14.807,Boiler -- Combustion & Fuel
1784,Boiler_E_Air_Required_For_Propane_Combustion,[Boiler_E_Fg_Propane_Mass_Fraction]*15.703,Boiler -- Combustion & Fuel
1785,Boiler_E_Air_Required_For_Nc4_Combustion,[Boiler_E_Fg_Nc4_Mass_Fraction]*15.487,Boiler -- Combustion & Fuel
1786,Boiler_E_Air_Required_For_Ic4_Combustion,[Boiler_E_Fg_Ic4_Mass_Fraction]*15.487,Boiler -- Combustion & Fuel
1787,Boiler_E_Air_Required_For_Nc5_Combustion,[Boiler_E_Fg_Nc5_Mass_Fraction]*15.353,Boiler -- Combustion & Fuel
1788,Boiler_E_Air_Required_For_Ic5_Combustion,[Boiler_E_Fg_Ic5_Mass_Fraction]*15.353,Boiler -- Combustion & Fuel
1789,Boiler_E_Ch4_Co2_Combustion,[Boiler_E_Fg_Ch4_Mass_Fraction]*2.744,Boiler -- Combustion & Fuel
1790,Boiler_E_Ethane_Co2_Combustion,[Boiler_E_Fg_Ethane_Mass_Fraction]*2.927,Boiler -- Combustion & Fuel
1791,Boiler_E_Ethylene_Co2_Combustion,[Boiler_E_Fg_Ethylene_Mass_Fraction]*3.138,Boiler -- Combustion & Fuel
1792,Boiler_E_Propane_Co2_Combustion,[Boiler_E_Fg_Propane_Mass_Fraction]*2.994,Boiler -- Combustion & Fuel
1793,Boiler_E_Nc4_Co2_Combustion,[Boiler_E_Fg_Nc4_Mass_Fraction]*3.029,Boiler -- Combustion & Fuel
1794,Boiler_E_Ic4_Co2_Combustion,[Boiler_E_Fg_Ic4_Mass_Fraction]*3.029,Boiler -- Combustion & Fuel
1795,Boiler_E_Nc5_Co2_Combustion,[Boiler_E_Fg_Nc5_Mass_Fraction]*3.05,Boiler -- Combustion & Fuel
1796,Boiler_E_Ic5_Co2_Combustion,[Boiler_E_Fg_Ic5_Mass_Fraction]*3.05,Boiler -- Combustion & Fuel
1797,Boiler_E_H2_N2_Combustion,[Boiler_E_Fg_Hydrogen_Mass_Fraction]*26.407,Boiler -- Combustion & Fuel
1798,Boiler_E_Ch4_N2_Combustion,[Boiler_E_Fg_Ch4_Mass_Fraction]*13.275,Boiler -- Combustion & Fuel
1799,Boiler_E_Ethane_N2_Combustion,[Boiler_E_Fg_Ethane_Mass_Fraction]*12.394,Boiler -- Combustion & Fuel
1800,Boiler_E_Ethylene_N2_Combustion,[Boiler_E_Fg_Ethylene_Mass_Fraction]*11.385,Boiler -- Combustion & Fuel
1801,Boiler_E_Propane_N2_Combustion,[Boiler_E_Fg_Propane_Mass_Fraction]*12.074,Boiler -- Combustion & Fuel
1802,Boiler_E_Ic4_N2_Combustion,[Boiler_E_Fg_Ic4_Mass_Fraction]*11.908,Boiler -- Combustion & Fuel
1803,Boiler_E_Nc4_N2_Combustion,[Boiler_E_Fg_Nc4_Mass_Fraction]*11.908,Boiler -- Combustion & Fuel
1804,Boiler_E_Ic5_N2_Combustion,[Boiler_E_Fg_Ic5_Mass_Fraction]*11.805,Boiler -- Combustion & Fuel
1805,Boiler_E_Nc5_N2_Combustion,[Boiler_E_Fg_Nc5_Mass_Fraction]*11.805,Boiler -- Combustion & Fuel
1806,Boiler_E_H2_H2O_Combustion,[Boiler_E_Fg_Hydrogen_Mass_Fraction]*8.937,Boiler -- Combustion & Fuel
1807,Boiler_E_Ch4_H2O_Combustion,[Boiler_E_Fg_Ch4_Mass_Fraction]*2.246,Boiler -- Combustion & Fuel
1808,Boiler_E_Ethane_H2O_Combustion,[Boiler_E_Fg_Ethane_Mass_Fraction]*1.798,Boiler -- Combustion & Fuel
1809,Boiler_E_Ethylene_H2O_Combustion,[Boiler_E_Fg_Ethylene_Mass_Fraction]*1.285,Boiler -- Combustion & Fuel
1810,Boiler_E_Propane_H2O_Combustion,[Boiler_E_Fg_Propane_Mass_Fraction]*1.634,Boiler -- Combustion & Fuel
1811,Boiler_E_Ic4_H2O_Combustion,[Boiler_E_Fg_Nc4_Mass_Fraction]*1.55,Boiler -- Combustion & Fuel
1812,Boiler_E_Nc4_H2O_Combustion,[Boiler_E_Fg_Ic4_Mass_Fraction]*1.55,Boiler -- Combustion & Fuel
1813,Boiler_E_Ic5_H2O_Combustion,[Boiler_E_Fg_Ic5_Mass_Fraction]*1.498,Boiler -- Combustion & Fuel
1814,Boiler_E_Nc5_H2O_Combustion,[Boiler_E_Fg_Nc5_Mass_Fraction]*1.498,Boiler -- Combustion & Fuel
1815,Boiler_E_Air_Required_For_Complete_Combustion,[Boiler_E_Air_Required_For_H2_Combustion]+[Boiler_E_Air_Required_For_Ch4_Combustion]+[Boiler_E_Air_Required_For_Ethane_Combustion]+[Boiler_E_Air_Required_For_Ethylene_Combustion]+[Boiler_E_Air_Required_For_Propane_Combustion]+[Boiler_E_Air_Required_For_Nc4_Combustion]+[Boiler_E_Air_Required_For_Ic4_Combustion]+[Boiler_E_Air_Required_For_Nc5_Combustion]+[Boiler_E_Air_Required_For_Ic5_Combustion],Boiler -- Combustion & Fuel
1816,Boiler_E_Co2_Formed,[Boiler_E_Ch4_Co2_Combustion]+[Boiler_E_Ethane_Co2_Combustion]+[Boiler_E_Ethylene_Co2_Combustion]+[Boiler_E_Propane_Co2_Combustion]+[Boiler_E_Nc4_Co2_Combustion]+[Boiler_E_Ic4_Co2_Combustion]+[Boiler_E_Nc5_Co2_Combustion]+[Boiler_E_Ic5_Co2_Combustion],Boiler -- Performance & Energy
